iter	Passed	Remaining
0	14	1390
1	27	1345
2	42	1376
3	53	1288
4	64	1229
5	75	1184
6	86	1148
7	97	1122
8	108	1095
9	118	1067
10	129	1045
11	140	1031
12	152	1020
13	163	1006
14	175	991
15	186	976
16	196	960
17	207	946
18	218	932
19	228	915
20	239	901
21	250	889
22	261	876
23	272	863
24	283	850
25	294	839
26	306	829
27	317	817
28	328	803
29	338	790
30	349	778
31	360	766
32	371	753
33	382	743
34	394	732
35	405	721
36	416	708
37	427	697
38	437	685
39	448	672
40	459	661
41	470	650
42	481	638
43	492	626
44	503	615
45	514	604
46	524	591
47	535	580
48	545	568
49	556	556
50	567	544
51	577	533
52	589	522
53	601	512
54	612	500
55	622	489
56	633	477
57	644	466
58	655	455
59	667	444
60	677	433
61	688	421
62	698	410
63	709	399
64	720	388
65	731	376
66	742	365
67	753	354
68	765	343
69	776	332
70	788	321
71	799	310
72	811	300
73	822	288
74	833	277
75	843	266
76	854	255
77	865	244
78	875	232
79	886	221
80	898	210
81	909	199
82	920	188
83	930	177
84	941	166
85	952	154
86	962	143
87	973	132
88	984	121
89	995	110
90	1007	99
91	1018	88
92	1030	77
93	1040	66
94	1053	55
95	1064	44
96	1076	33
97	1088	22
98	1099	11
99	1112	0
