iter	Passed	Remaining
0	29	2953
1	41	2038
2	53	1719
3	63	1532
4	73	1400
5	83	1303
6	92	1232
7	102	1182
8	112	1137
9	122	1099
10	132	1068
11	141	1040
12	151	1014
13	161	990
14	170	968
15	180	948
16	190	929
17	200	912
18	209	894
19	219	877
20	228	861
21	238	845
22	248	832
23	258	817
24	267	803
25	277	789
26	287	776
27	296	763
28	306	750
29	316	738
30	326	726
31	336	715
32	346	702
33	356	691
34	365	678
35	376	668
36	386	658
37	397	648
38	407	637
39	418	628
40	429	617
41	439	607
42	450	596
43	460	586
44	471	576
45	482	566
46	492	555
47	503	545
48	513	534
49	523	523
50	533	512
51	544	502
52	554	491
53	565	481
54	576	471
55	586	460
56	596	450
57	606	439
58	615	427
59	625	417
60	635	406
61	645	395
62	654	384
63	664	373
64	673	362
65	683	352
66	693	341
67	702	330
68	712	320
69	721	309
70	731	298
71	741	288
72	751	277
73	760	267
74	770	256
75	780	246
76	789	235
77	799	225
78	808	215
79	818	204
80	828	194
81	837	183
82	847	173
83	858	163
84	867	153
85	877	142
86	887	132
87	897	122
88	907	112
89	916	101
90	926	91
91	936	81
92	945	71
93	955	60
94	965	50
95	974	40
96	984	30
97	994	20
98	1004	10
99	1014	0
